Reward from homework,Course relevance,Interdisciplinary learning,Cooperation and Discussion,Homework numbers,Scale,Average time spent,Homework deadlines,Step by step,Feeling,Difficulty of implementation,Difficulty in understanding,Student qualifications,Student concentration,Student responsibility,Research relevance,answer,reward,time_cost,feel,ability
8,moderately correlated,often,always,>=7,large,5-10 hr,a month,roughly,inspired,moderate,simple,between middle/high,middle,low,between low/middle,1,12,7,5,-2
4,moderately correlated,often,always,>=7,large,3-5 hr,three week,uncertain,motivated,simple,moderate,low,between low/middle,between low/middle,between middle/high,1,8,5,2,-3
9,highly correlated,often,seldom,>=7,medium to large,>10 hr,three week,fully qualified,inspired,moderate,super hard,low,middle,middle,middle,1,10,6,4,-2
10,moderately correlated,uncertain,always,>=7,large,3-5 hr,three week,fully qualified,interested,moderate,very easy,between middle/high,low,between low/middle,between low/middle,1,8,5,4,-3
10,highly correlated,often,without cooperation,5-6,large,3-5 hr,a month,fully qualified,bored,simple,moderate,high,low,low,middle,1,8,5,2,-2
7,highly correlated,uncertain,always,>=7,medium,>10 hr,three week,uncertain,inspired,difficult,moderate,middle,low,low,high,1,8,5,4,-2
8,highly correlated,often,common,>=7,large,1-3 hr,a month,fully qualified,inspired,moderate,super hard,low,middle,middle,low,1,10,5,4,-4
10,highly correlated,uncertain,always,>=7,large,>10 hr,three days,roughly,interested,moderate,super hard,low,middle,middle,middle,1,10,4,2,-2
10,moderately correlated,fifty-fifty,often,>=7,large,>10 hr,three week,roughly,inspired,moderate,very easy,middle,low,middle,between low/middle,1,10,7,4,-3
10,moderately correlated,often,always,5-6,medium to large,>10 hr,a month,roughly,inspired,simple,difficult,between low/middle,middle,middle,low,1,14,6,4,-3
10,highly correlated,often,often,>=7,medium to large,>10 hr,one weeks,fifty-fifty,rewarding,difficult,moderate,between middle/high,between low/middle,between low/middle,between low/middle,1,14,4,5,-2
7,highly correlated,a little,often,5-6,medium to large,>10 hr,two weeks,roughly,rewarding,simple,difficult,low,low,middle,middle,1,8,4,4,-4
7,moderately correlated,fifty-fifty,often,>=7,large,>10 hr,three days,fifty-fifty,rewarding,moderate,simple,high,low,low,low,1,8,4,4,-4
6,highly correlated,often,always,5-6,medium,>10 hr,three week,roughly,interested,simple,moderate,low,low,middle,high,1,12,4,4,-2
9,highly correlated,a little,often,>=7,medium to large,>10 hr,three week,roughly,interested,simple,moderate,low,between low/middle,between low/middle,middle,1,10,6,4,-4
8,highly correlated,often,common,>=7,medium,5-10 hr,three week,no,motivated,moderate,difficult,between middle/high,between low/middle,low,between low/middle,1,10,4,2,-3
9,moderately correlated,often,often,>=7,medium,3-5 hr,a month,fully qualified,bored,moderate,moderate,high,low,low,between low/middle,1,12,4,4,-3
5,highly correlated,a little,always,>=7,large,5-10 hr,three week,uncertain,inspired,moderate,difficult,low,low,high,low,1,8,6,4,-4
8,highly correlated,fifty-fifty,always,>=7,medium,>10 hr,a month,roughly,confused,simple,moderate,middle,low,low,between low/middle,1,12,6,2,-5
7,highly correlated,often,seldom,>=7,small to medium,>10 hr,three week,fully qualified,impatient,simple,difficult,between low/middle,middle,middle,between low/middle,1,8,4,2,-2
8,highly correlated,often,always,5-6,large,>10 hr,a month,no,rewarding,difficult,difficult,low,middle,between low/middle,middle,1,14,7,2,-3
9,moderately correlated,a little,always,>=7,medium to large,3-5 hr,three week,roughly,rewarding,difficult,moderate,low,low,middle,low,1,10,4,6,-6
1,highly correlated,often,always,>=7,medium to large,5-10 hr,a month,roughly,rewarding,difficult,difficult,between low/middle,between low/middle,between low/middle,low,1,8,6,5,-5
6,moderately correlated,often,often,>=7,small to medium,>10 hr,a month,roughly,rewarding,simple,moderate,low,between low/middle,between low/middle,between low/middle,1,8,5,5,-5
7,highly correlated,a little,always,>=7,medium to large,3-5 hr,three week,fully qualified,inspired,difficult,super hard,between middle/high,low,middle,between low/middle,1,10,4,3,-2
10,highly correlated,fifty-fifty,common,5-6,medium to large,>10 hr,a month,roughly,interested,super hard,moderate,between middle/high,low,middle,low,1,10,6,2,-3
9,highly correlated,no,always,>=7,large,>10 hr,a month,roughly,motivated,difficult,simple,high,low,low,between low/middle,1,8,8,3,-3
4,highly correlated,often,always,>=7,large,3-5 hr,a month,fully qualified,inspired,simple,super hard,low,low,between low/middle,high,1,10,6,2,-3
3,highly correlated,often,often,3-4,large,5-10 hr,a month,fully qualified,rewarding,very easy,very easy,low,low,between low/middle,middle,1,8,4,2,-5
8,highly correlated,often,often,>=7,medium,3-5 hr,a month,fifty-fifty,motivated,moderate,difficult,between low/middle,between low/middle,low,high,1,12,4,4,-2
5,moderately correlated,fifty-fifty,always,3-4,large,>10 hr,a month,roughly,rewarding,simple,difficult,low,middle,middle,middle,1,8,5,4,-2
5,highly correlated,often,always,>=7,medium to large,>10 hr,one weeks,uncertain,inspired,simple,difficult,low,between low/middle,between low/middle,middle,1,12,4,2,-4
7,highly correlated,a little,often,>=7,large,1-3 hr,a month,roughly,interested,simple,difficult,between low/middle,low,between middle/high,middle,1,8,5,3,-2
9,highly correlated,a little,always,>=7,medium,>10 hr,two weeks,roughly,bored,moderate,difficult,high,between low/middle,low,between low/middle,1,12,4,2,-2
1,highly correlated,often,always,>=7,medium to large,>10 hr,one weeks,fifty-fifty,inspired,simple,simple,low,middle,between middle/high,low,1,8,4,2,-3
5,highly correlated,fifty-fifty,always,>=7,large,3-5 hr,a month,uncertain,rewarding,moderate,difficult,low,low,high,low,1,10,6,4,-4
9,highly correlated,no,always,>=7,medium to large,>10 hr,a month,uncertain,rewarding,difficult,difficult,middle,between middle/high,between low/middle,low,1,8,7,3,-2
10,moderately correlated,a little,always,5-6,medium,5-10 hr,a month,uncertain,inspired,simple,moderate,low,between middle/high,low,between middle/high,1,10,4,3,-2
7,moderately correlated,a little,always,5-6,large,5-10 hr,three week,fully qualified,interested,simple,simple,between low/middle,between middle/high,low,low,1,8,5,3,-4
10,moderately correlated,fifty-fifty,often,>=7,medium to large,>10 hr,a month,no,interested,difficult,moderate,middle,between low/middle,between low/middle,between low/middle,1,10,7,2,-3
9,modestly correlated,fifty-fifty,always,5-6,large,1-3 hr,a month,uncertain,confused,moderate,moderate,low,between low/middle,between low/middle,between middle/high,1,8,4,2,-3
10,highly correlated,often,common,3-4,medium to large,>10 hr,a month,roughly,interested,difficult,difficult,between low/middle,between low/middle,low,between low/middle,1,12,4,4,-5
2,highly correlated,often,always,>=7,medium to large,3-5 hr,a month,roughly,impatient,moderate,simple,between low/middle,low,low,middle,1,8,5,2,-5
9,highly correlated,fifty-fifty,often,5-6,large,3-5 hr,three week,roughly,impatient,moderate,simple,between low/middle,low,low,between middle/high,1,12,4,2,-4
9,highly correlated,fifty-fifty,seldom,>=7,medium,>10 hr,two weeks,fully qualified,interested,difficult,simple,low,between low/middle,low,between low/middle,1,8,4,4,-6
8,highly correlated,fifty-fifty,often,1-2,large,>10 hr,a month,fully qualified,rewarding,difficult,very easy,between low/middle,middle,between low/middle,low,1,10,4,4,-4
10,moderately correlated,often,seldom,>=7,large,>10 hr,a month,uncertain,motivated,difficult,difficult,between low/middle,middle,low,middle,1,8,8,2,-3
8,highly correlated,fifty-fifty,always,>=7,large,3-5 hr,two weeks,fifty-fifty,motivated,moderate,moderate,high,low,between low/middle,low,1,12,4,5,-3
7,highly correlated,fifty-fifty,often,3-4,medium to large,>10 hr,a month,uncertain,rewarding,moderate,difficult,low,low,middle,between low/middle,1,10,4,4,-5
9,moderately correlated,fifty-fifty,always,>=7,small to medium,5-10 hr,a month,fifty-fifty,bored,moderate,moderate,between middle/high,low,between low/middle,between low/middle,1,12,4,2,-3
9,moderately correlated,fifty-fifty,often,3-4,large,>10 hr,a month,fully qualified,confused,simple,moderate,middle,between low/middle,low,low,1,10,5,3,-5
7,highly correlated,often,common,5-6,medium,5-10 hr,a month,roughly,rewarding,simple,moderate,low,low,between low/middle,between low/middle,1,10,4,5,-6
10,moderately correlated,often,always,5-6,large,5-10 hr,a month,fifty-fifty,rewarding,moderate,moderate,low,between low/middle,middle,middle,1,14,6,6,-3
10,moderately correlated,often,often,5-6,small to medium,>10 hr,a month,roughly,inspired,very easy,simple,high,low,low,between low/middle,1,12,4,2,-3
6,highly correlated,a little,always,>=7,medium to large,3-5 hr,three week,roughly,rewarding,very easy,simple,between low/middle,middle,low,middle,1,8,4,2,-3
8,highly correlated,often,always,>=7,medium,3-5 hr,a month,uncertain,interested,simple,moderate,middle,high,low,low,1,14,4,2,-2
5,moderately correlated,often,always,>=7,medium to large,>10 hr,two weeks,uncertain,rewarding,moderate,very easy,between low/middle,between middle/high,low,middle,1,10,5,2,-2
9,highly correlated,a little,always,3-4,large,>10 hr,three week,fully qualified,inspired,difficult,very easy,between low/middle,low,low,between low/middle,1,12,4,4,-6
6,highly correlated,a little,always,>=7,large,1-3 hr,three week,fully qualified,motivated,simple,difficult,low,between low/middle,between middle/high,between low/middle,1,8,4,4,-3
10,highly correlated,a little,common,5-6,large,>10 hr,three week,fully qualified,inspired,simple,very easy,between low/middle,low,low,between low/middle,1,8,6,3,-6
10,highly correlated,fifty-fifty,often,>=7,large,5-10 hr,two weeks,roughly,interested,simple,moderate,low,between low/middle,between middle/high,between low/middle,1,12,5,4,-3
5,moderately correlated,often,often,>=7,medium,3-5 hr,a month,roughly,inspired,difficult,simple,low,between low/middle,low,high,1,8,4,4,-3
7,highly correlated,uncertain,always,>=7,medium,>10 hr,a month,roughly,motivated,very easy,moderate,low,low,between middle/high,low,1,8,6,3,-5
7,highly correlated,often,always,>=7,small to medium,>10 hr,a month,fifty-fifty,rewarding,super hard,moderate,between low/middle,middle,between low/middle,low,1,14,5,2,-4
9,modestly correlated,often,often,>=7,medium,5-10 hr,three week,roughly,motivated,difficult,moderate,high,low,low,low,1,8,4,5,-4
7,highly correlated,fifty-fifty,often,>=7,medium to large,>10 hr,two weeks,fully qualified,motivated,moderate,difficult,low,middle,low,high,1,10,5,6,-2
4,highly correlated,often,often,>=7,large,5-10 hr,a month,fifty-fifty,confused,difficult,moderate,between low/middle,low,between low/middle,between low/middle,1,8,7,2,-5
4,moderately correlated,often,always,5-6,medium to large,5-10 hr,a month,roughly,interested,difficult,simple,between middle/high,low,low,between low/middle,1,8,5,3,-4
8,moderately correlated,often,always,>=7,medium,3-5 hr,a month,fifty-fifty,inspired,moderate,simple,between middle/high,middle,low,low,1,12,4,4,-3
7,highly correlated,often,always,5-6,large,1-3 hr,a month,fifty-fifty,rewarding,very easy,moderate,middle,low,low,between middle/high,1,14,4,3,-3
7,highly correlated,a little,often,5-6,medium to large,>10 hr,three week,roughly,impatient,moderate,moderate,low,between low/middle,low,between middle/high,1,8,5,4,-4
10,highly correlated,fifty-fifty,seldom,>=7,medium to large,5-10 hr,three week,fully qualified,inspired,moderate,simple,between middle/high,low,low,between low/middle,1,8,5,6,-4
8,highly correlated,a little,always,>=7,large,3-5 hr,a month,fifty-fifty,inspired,difficult,moderate,between low/middle,between middle/high,low,low,1,10,6,5,-4
7,moderately correlated,often,always,5-6,large,5-10 hr,two weeks,uncertain,inspired,difficult,difficult,middle,between middle/high,low,low,1,12,4,3,-3
6,highly correlated,often,always,>=7,small,>10 hr,a month,fully qualified,worried,moderate,difficult,low,between low/middle,between low/middle,low,1,12,4,3,-6
10,highly correlated,often,without cooperation,>=7,large,5-10 hr,two weeks,roughly,rewarding,very easy,simple,low,between low/middle,low,high,1,8,5,2,-3
8,highly correlated,fifty-fifty,always,5-6,large,5-10 hr,a month,roughly,motivated,simple,difficult,middle,between low/middle,low,between middle/high,1,12,6,3,-2
3,highly correlated,often,often,>=7,large,>10 hr,one weeks,fifty-fifty,worried,moderate,moderate,low,between low/middle,between middle/high,between low/middle,1,8,5,2,-3
9,moderately correlated,uncertain,always,3-4,large,>10 hr,three week,fully qualified,motivated,moderate,simple,between low/middle,low,middle,between middle/high,1,8,4,5,-2
9,moderately correlated,a little,often,>=7,small to medium,>10 hr,a month,fully qualified,impatient,very easy,moderate,low,between low/middle,between middle/high,middle,1,8,5,2,-2
9,highly correlated,no,always,3-4,large,>10 hr,three week,fully qualified,worried,difficult,moderate,between low/middle,between low/middle,middle,between low/middle,1,8,4,3,-3
8,modestly correlated,often,always,>=7,large,5-10 hr,one weeks,fully qualified,rewarding,difficult,difficult,between low/middle,low,between middle/high,middle,1,8,4,6,-2
10,highly correlated,often,seldom,>=7,medium to large,3-5 hr,three week,uncertain,inspired,simple,difficult,low,high,low,middle,1,10,4,2,-2
9,highly correlated,fifty-fifty,common,>=7,medium to large,3-5 hr,three week,fifty-fifty,inspired,very easy,moderate,low,low,between low/middle,between middle/high,1,10,4,3,-4
10,highly correlated,no,always,5-6,medium,>10 hr,three week,uncertain,inspired,moderate,very easy,between middle/high,between low/middle,low,between low/middle,1,8,4,2,-3
1,highly correlated,often,always,5-6,medium to large,>10 hr,three week,roughly,impatient,simple,moderate,between low/middle,between middle/high,between low/middle,low,1,8,5,2,-3
10,moderately correlated,fifty-fifty,common,>=7,large,5-10 hr,a month,roughly,motivated,moderate,very easy,between low/middle,between low/middle,between low/middle,between low/middle,1,8,7,3,-4
9,highly correlated,fifty-fifty,common,>=7,small,>10 hr,a month,fully qualified,inspired,simple,moderate,low,between low/middle,low,between middle/high,1,10,4,6,-4
9,highly correlated,a little,often,>=7,large,>10 hr,two weeks,roughly,impatient,difficult,difficult,between low/middle,between low/middle,middle,between low/middle,1,10,6,2,-3
9,moderately correlated,often,seldom,>=7,large,3-5 hr,two weeks,fully qualified,motivated,moderate,super hard,low,high,between low/middle,low,1,8,4,3,-3
8,moderately correlated,a little,always,>=7,medium to large,5-10 hr,two weeks,roughly,inspired,moderate,simple,between middle/high,between low/middle,between low/middle,low,1,8,4,5,-3
9,highly correlated,often,seldom,>=7,medium to large,>10 hr,three week,fully qualified,motivated,simple,difficult,low,high,middle,low,1,10,6,4,-2
9,modestly correlated,often,always,5-6,medium to large,>10 hr,two weeks,fully qualified,inspired,simple,moderate,low,between middle/high,middle,low,1,10,4,6,-3
10,modestly correlated,often,often,>=7,large,1-3 hr,three week,fifty-fifty,impatient,moderate,difficult,between middle/high,low,between low/middle,between low/middle,1,8,4,2,-3
8,moderately correlated,fifty-fifty,often,5-6,medium to large,>10 hr,a month,fifty-fifty,confused,difficult,moderate,between middle/high,low,middle,between low/middle,1,8,6,2,-2
8,highly correlated,often,common,3-4,large,>10 hr,three week,fully qualified,inspired,simple,moderate,between low/middle,low,low,high,1,10,4,6,-3
8,highly correlated,often,seldom,>=7,large,5-10 hr,three week,roughly,inspired,very easy,moderate,between low/middle,middle,low,low,1,8,6,4,-5
6,moderately correlated,often,often,5-6,medium to large,5-10 hr,three week,fully qualified,interested,super hard,difficult,middle,between middle/high,between low/middle,low,1,8,4,2,-2
6,moderately correlated,often,always,5-6,medium to large,>10 hr,a month,fully qualified,inspired,simple,moderate,low,between middle/high,low,between middle/high,1,10,6,6,-2
8,highly correlated,fifty-fifty,common,5-6,large,3-5 hr,a month,roughly,inspired,simple,very easy,low,high,between low/middle,low,1,8,5,2,-3
10,modestly correlated,fifty-fifty,always,>=7,large,5-10 hr,one weeks,fully qualified,interested,simple,very easy,between low/middle,high,low,between low/middle,1,8,4,2,-2
7,highly correlated,uncertain,always,>=7,large,>10 hr,one weeks,roughly,inspired,moderate,difficult,middle,between low/middle,low,middle,1,8,5,6,-3
10,modestly correlated,fifty-fifty,always,1-2,large,>10 hr,a month,roughly,rewarding,difficult,simple,between low/middle,low,between low/middle,middle,1,8,4,4,-4
7,highly correlated,often,seldom,>=7,small to medium,>10 hr,a month,fully qualified,inspired,difficult,difficult,middle,low,low,between middle/high,1,8,5,6,-3
9,highly correlated,often,always,5-6,medium to large,>10 hr,a month,fully qualified,motivated,simple,simple,low,between low/middle,middle,middle,1,16,6,3,-3
10,modestly correlated,fifty-fifty,always,5-6,large,5-10 hr,a month,fully qualified,interested,difficult,difficult,between middle/high,low,middle,between low/middle,1,8,6,5,-2
10,moderately correlated,often,always,>=7,large,5-10 hr,one weeks,fully qualified,inspired,difficult,super hard,between low/middle,low,low,between low/middle,1,14,4,3,-6
9,moderately correlated,often,always,5-6,large,>10 hr,a month,fully qualified,worried,difficult,moderate,between middle/high,middle,between low/middle,low,1,14,7,3,-2
9,highly correlated,often,often,>=7,large,>10 hr,a month,fully qualified,interested,moderate,super hard,low,low,between middle/high,between low/middle,1,14,8,3,-4
5,highly correlated,often,often,5-6,medium to large,5-10 hr,three week,uncertain,impatient,moderate,moderate,middle,between low/middle,between low/middle,between low/middle,1,10,4,2,-3
9,modestly correlated,often,often,>=7,large,>10 hr,a month,fully qualified,rewarding,difficult,super hard,middle,between low/middle,between low/middle,middle,1,8,8,3,-2
7,moderately correlated,a little,always,>=7,medium to large,>10 hr,a month,roughly,confused,moderate,moderate,between low/middle,between low/middle,low,middle,1,8,7,4,-4
10,highly correlated,often,always,>=7,medium,>10 hr,a month,fifty-fifty,motivated,difficult,simple,between low/middle,low,low,between middle/high,1,16,6,2,-4
4,moderately correlated,often,always,>=7,medium,5-10 hr,three week,uncertain,inspired,simple,moderate,between low/middle,low,low,middle,1,8,4,3,-5
6,highly correlated,often,common,5-6,medium to large,5-10 hr,three week,fully qualified,interested,super hard,moderate,low,high,low,between low/middle,1,8,4,3,-3
4,highly correlated,often,often,5-6,large,3-5 hr,three week,fully qualified,motivated,moderate,difficult,between low/middle,between middle/high,low,middle,1,8,4,6,-2
9,moderately correlated,often,common,>=7,medium to large,5-10 hr,a month,roughly,inspired,simple,difficult,between middle/high,low,between middle/high,low,1,10,6,4,-2
5,highly correlated,often,always,5-6,small to medium,>10 hr,a month,roughly,rewarding,difficult,simple,low,middle,low,between middle/high,1,12,4,4,-3
8,highly correlated,a little,always,>=7,medium,3-5 hr,a month,roughly,bored,difficult,moderate,middle,low,high,low,1,10,4,2,-2
3,highly correlated,fifty-fifty,always,>=7,large,3-5 hr,a month,fully qualified,inspired,difficult,simple,between middle/high,between low/middle,between low/middle,between low/middle,1,8,6,5,-2
9,modestly correlated,often,often,3-4,medium to large,>10 hr,a month,fifty-fifty,interested,simple,difficult,low,between low/middle,middle,between low/middle,1,8,4,2,-4
8,moderately correlated,fifty-fifty,often,>=7,large,5-10 hr,three week,fifty-fifty,interested,moderate,simple,low,between middle/high,middle,between low/middle,1,8,6,3,-2
8,highly correlated,often,often,>=7,medium to large,>10 hr,two weeks,uncertain,inspired,very easy,moderate,low,between middle/high,low,middle,1,12,5,2,-3
1,highly correlated,often,always,>=7,large,5-10 hr,a month,fifty-fifty,inspired,moderate,simple,between low/middle,between low/middle,between low/middle,between middle/high,1,8,7,4,-2
6,moderately correlated,often,often,>=7,medium to large,3-5 hr,a month,fully qualified,motivated,difficult,moderate,low,middle,low,between low/middle,1,8,5,6,-5
9,highly correlated,a little,often,>=7,small to medium,>10 hr,three week,roughly,motivated,moderate,very easy,low,middle,high,low,1,10,4,3,-2
7,moderately correlated,fifty-fifty,always,>=7,medium to large,5-10 hr,two weeks,uncertain,interested,difficult,difficult,low,low,low,high,1,10,4,2,-4
10,highly correlated,no,always,>=7,large,3-5 hr,a month,roughly,motivated,moderate,very easy,high,between low/middle,low,low,1,8,6,3,-3
10,highly correlated,often,common,>=7,large,<1 hr,a month,fully qualified,motivated,simple,difficult,between low/middle,low,low,middle,1,12,4,4,-5
9,moderately correlated,fifty-fifty,common,>=7,medium,>10 hr,a month,fifty-fifty,motivated,moderate,very easy,middle,between low/middle,low,between middle/high,1,8,6,2,-2
9,highly correlated,fifty-fifty,seldom,>=7,medium,>10 hr,a month,fully qualified,motivated,difficult,moderate,high,between low/middle,low,low,1,8,6,6,-3
4,highly correlated,often,often,>=7,large,>10 hr,a month,fifty-fifty,inspired,difficult,moderate,between low/middle,low,middle,middle,1,8,8,5,-3
7,highly correlated,fifty-fifty,always,>=7,medium to large,3-5 hr,a month,uncertain,inspired,moderate,simple,low,low,high,middle,1,12,5,3,-2
7,highly correlated,often,common,5-6,medium,>10 hr,a month,fully qualified,interested,moderate,difficult,low,middle,middle,middle,1,10,5,6,-2
10,moderately correlated,often,common,5-6,large,>10 hr,three week,fifty-fifty,inspired,difficult,simple,between low/middle,between low/middle,between low/middle,middle,1,10,6,3,-3
10,highly correlated,often,without cooperation,5-6,small to medium,>10 hr,a month,uncertain,inspired,difficult,simple,high,low,between low/middle,low,1,8,4,2,-3
5,highly correlated,fifty-fifty,always,5-6,large,>10 hr,one weeks,fully qualified,rewarding,difficult,very easy,low,middle,between low/middle,between middle/high,1,10,4,4,-2
9,highly correlated,often,always,>=7,medium,5-10 hr,a month,fifty-fifty,interested,difficult,difficult,between middle/high,low,low,low,1,16,5,3,-5
9,highly correlated,often,always,>=7,medium to large,>10 hr,three week,fifty-fifty,interested,simple,moderate,between middle/high,low,between low/middle,middle,1,16,6,3,-2
10,modestly correlated,fifty-fifty,always,5-6,medium to large,5-10 hr,three week,uncertain,rewarding,difficult,difficult,middle,low,between low/middle,low,1,8,4,3,-5
9,highly correlated,often,without cooperation,>=7,large,3-5 hr,a month,uncertain,inspired,difficult,simple,between low/middle,between low/middle,middle,between low/middle,1,8,6,2,-3
10,no correlation,often,always,>=7,large,>10 hr,two weeks,fully qualified,impatient,difficult,simple,middle,high,low,low,1,8,6,2,-2
5,highly correlated,often,often,5-6,large,>10 hr,two weeks,fully qualified,rewarding,moderate,super hard,middle,low,between low/middle,low,1,10,5,4,-5
10,moderately correlated,fifty-fifty,common,>=7,medium to large,1-3 hr,a month,roughly,motivated,moderate,moderate,between low/middle,low,between middle/high,low,1,8,4,6,-4
6,moderately correlated,fifty-fifty,always,>=7,small to medium,>10 hr,a month,roughly,interested,very easy,difficult,middle,between middle/high,low,low,1,8,5,2,-3
9,moderately correlated,fifty-fifty,common,5-6,medium to large,5-10 hr,a month,fully qualified,interested,very easy,moderate,low,low,between middle/high,between middle/high,1,8,5,4,-2
8,highly correlated,often,seldom,>=7,medium,>10 hr,a month,fifty-fifty,worried,moderate,moderate,between low/middle,between middle/high,between low/middle,low,1,8,6,2,-3
5,highly correlated,fifty-fifty,always,>=7,medium,>10 hr,a month,fully qualified,rewarding,very easy,very easy,between middle/high,low,between middle/high,low,1,10,6,2,-2
9,moderately correlated,a little,always,>=7,large,>10 hr,a month,roughly,inspired,difficult,simple,between low/middle,low,low,between middle/high,1,10,8,4,-4
10,no correlation,often,always,5-6,large,3-5 hr,a month,fully qualified,interested,simple,simple,between low/middle,low,low,middle,1,8,5,3,-5
10,highly correlated,no,always,>=7,large,>10 hr,a month,fifty-fifty,interested,simple,moderate,low,middle,between middle/high,between low/middle,1,8,8,3,-2
8,moderately correlated,a little,always,>=7,medium to large,>10 hr,a month,roughly,bored,moderate,difficult,middle,between low/middle,low,middle,1,8,7,2,-3
6,highly correlated,often,common,3-4,medium to large,>10 hr,a month,fully qualified,inspired,simple,very easy,middle,low,between middle/high,low,1,8,4,3,-3
9,highly correlated,uncertain,often,>=7,small to medium,5-10 hr,a month,fully qualified,confused,moderate,difficult,middle,middle,between low/middle,between low/middle,1,8,4,4,-2
3,highly correlated,often,always,5-6,medium,>10 hr,three week,no,inspired,moderate,difficult,low,between middle/high,low,middle,1,10,4,3,-3
10,moderately correlated,fifty-fifty,always,>=7,medium to large,>10 hr,three week,fifty-fifty,interested,difficult,simple,middle,low,high,low,1,12,6,2,-2
10,moderately correlated,fifty-fifty,common,5-6,large,>10 hr,a month,roughly,interested,difficult,moderate,low,middle,between low/middle,low,1,8,7,5,-5
6,highly correlated,often,common,5-6,large,>10 hr,two weeks,roughly,rewarding,moderate,very easy,between low/middle,middle,between low/middle,between low/middle,1,8,5,4,-3
4,highly correlated,often,often,>=7,medium to large,>10 hr,one weeks,fifty-fifty,inspired,moderate,difficult,middle,low,between low/middle,between low/middle,1,8,4,5,-4
9,moderately correlated,fifty-fifty,common,>=7,large,5-10 hr,a month,fifty-fifty,worried,moderate,moderate,between low/middle,high,between low/middle,low,1,8,7,2,-2
9,modestly correlated,often,often,5-6,medium to large,5-10 hr,three week,roughly,rewarding,super hard,difficult,low,low,high,low,1,8,4,2,-4
10,highly correlated,often,seldom,>=7,medium,5-10 hr,three week,roughly,rewarding,very easy,difficult,high,low,between low/middle,between low/middle,1,10,4,3,-2
6,moderately correlated,fifty-fifty,always,>=7,medium to large,>10 hr,three week,uncertain,impatient,moderate,moderate,low,between low/middle,middle,between middle/high,1,8,6,2,-2
10,highly correlated,fifty-fifty,common,5-6,large,>10 hr,one weeks,fully qualified,confused,difficult,simple,low,middle,low,high,1,10,4,2,-2
9,highly correlated,uncertain,always,>=7,medium,5-10 hr,three week,fifty-fifty,inspired,moderate,super hard,low,between low/middle,high,between low/middle,1,10,4,2,-2
9,highly correlated,often,without cooperation,5-6,medium to large,>10 hr,two weeks,roughly,interested,difficult,difficult,low,between low/middle,low,middle,1,8,4,4,-5
10,highly correlated,often,often,1-2,large,>10 hr,a month,roughly,motivated,moderate,very easy,between low/middle,low,low,between low/middle,1,14,4,3,-6
9,highly correlated,a little,always,>=7,large,3-5 hr,two weeks,fully qualified,rewarding,super hard,moderate,low,between low/middle,middle,between low/middle,1,12,4,4,-4
10,highly correlated,a little,common,5-6,medium to large,5-10 hr,a month,fifty-fifty,motivated,moderate,simple,low,middle,low,between low/middle,1,8,5,3,-5
7,highly correlated,often,common,>=7,medium to large,>10 hr,three week,roughly,rewarding,simple,moderate,low,low,high,low,1,10,6,5,-4
5,moderately correlated,often,often,5-6,medium to large,5-10 hr,a month,roughly,inspired,moderate,simple,low,middle,middle,low,1,8,5,5,-4
7,highly correlated,often,seldom,5-6,medium to large,5-10 hr,three week,fifty-fifty,rewarding,very easy,difficult,middle,low,middle,between low/middle,1,8,4,2,-3
8,highly correlated,fifty-fifty,often,5-6,medium to large,5-10 hr,three week,uncertain,interested,difficult,difficult,middle,low,low,between middle/high,1,10,4,2,-3
10,highly correlated,a little,often,5-6,large,>10 hr,three week,fully qualified,rewarding,simple,very easy,high,between low/middle,low,low,1,10,6,3,-3
10,highly correlated,a little,often,5-6,medium to large,5-10 hr,a month,roughly,inspired,simple,very easy,between low/middle,high,between low/middle,low,1,10,5,2,-2
10,moderately correlated,often,always,>=7,large,3-5 hr,two weeks,uncertain,motivated,difficult,moderate,low,low,low,between middle/high,1,14,4,3,-5
8,moderately correlated,fifty-fifty,always,>=7,large,<1 hr,a month,fully qualified,inspired,very easy,very easy,low,between low/middle,middle,low,1,10,4,2,-5
7,highly correlated,often,often,>=7,small to medium,>10 hr,a month,fifty-fifty,bored,moderate,moderate,between low/middle,between middle/high,between low/middle,between low/middle,1,12,5,2,-2
9,moderately correlated,a little,always,5-6,large,5-10 hr,two weeks,fully qualified,motivated,very easy,simple,between low/middle,between low/middle,high,low,1,10,4,2,-2
6,moderately correlated,often,often,>=7,large,5-10 hr,three week,roughly,inspired,very easy,difficult,between low/middle,middle,low,middle,1,8,6,3,-3
9,highly correlated,fifty-fifty,always,>=7,medium to large,1-3 hr,a month,roughly,rewarding,moderate,simple,low,low,middle,high,1,14,4,5,-2
6,highly correlated,fifty-fifty,often,1-2,large,>10 hr,a month,roughly,interested,difficult,very easy,low,low,between middle/high,middle,1,8,4,2,-3
7,highly correlated,fifty-fifty,common,5-6,large,5-10 hr,a month,fully qualified,rewarding,very easy,difficult,low,between low/middle,between low/middle,middle,1,8,6,4,-4
9,highly correlated,often,without cooperation,>=7,large,>10 hr,two weeks,roughly,interested,difficult,simple,between low/middle,low,between low/middle,between middle/high,1,8,6,3,-3
9,moderately correlated,often,often,>=7,medium to large,>10 hr,a month,fully qualified,confused,simple,moderate,between middle/high,between low/middle,between low/middle,low,1,12,7,3,-3
